id,article_id,date,title,summary,url,other,media,source,locations,lat,long
14,483781,11/3/2022,NASA to Discuss Psyche Independent Review Board Results,"NASA will host a community townhall at 12 p.m. EDT on Friday, Nov. 4, followed by a media teleconference at 1 p.m. to discuss the findings and recommendations of a report by the Psyche mission independent review board. ",https://www.nasa.gov/press-release/nasa-to-discuss-psyche-independent-review-board-results,NULL,https://www.nasa.gov/sites/default/files/styles/full_width/public/thumbnails/image/psyche_spacecraft.jpg,NASA,Washington, 38.89124,-76.93761
15,483773,11/3/2022,"NASA to Provide Coverage of Preview Briefing, US Spacewalks",Astronauts aboard the International Space Station will conduct a series of U.S. spacewalks in November and December to install mounting hardware and a pair of rollout solar arrays to increase electrical power to support station operations and scientific r,https://www.nasa.gov/press-release/nasa-to-provide-coverage-of-preview-briefing-us-spacewalks,NULL,https://www.nasa.gov/sites/default/files/styles/full_width/public/thumbnails/image/preview_briefing_spacewalk_advisory.jpg,NASA,Houston,29.80285,-95.43468
16,483749,11/2/2022,"NASA Invites Media to Discuss Space Station Science, Experiments ","NASA will host a media teleconference at 1 p.m. EST Wednesday, Nov. 9, to discuss the hardware, technology demonstrations, and science experiments headed to the International Space Station aboard SpaceXâ€™s 26th commercial resupply mission for the agency. ",https://www.nasa.gov/press-release/nasa-invites-media-to-discuss-space-station-science-experiments,NULL,https://www.nasa.gov/sites/default/files/styles/full_width/public/thumbnails/image/david_saint_jacques_csa.jpg,NASA,U.S., 38.89124,-76.93761
17,483668,10/28/2022,NASA to Provide Update on Artemis I Moon Mission,"NASA will host a media teleconference at 12 p.m. EDT Thursday, Nov. 3, to discuss the status of its Artemis I flight test that will launch the Space Launch System (SLS) rocket from NASAâ€™s Kennedy Space Center in Florida. The uncrewed mission will send the",https://www.nasa.gov/press-release/nasa-to-provide-update-on-artemis-i-moon-mission,NULL,https://www.nasa.gov/sites/default/files/styles/full_width/public/thumbnails/image/artemis_i_update_advisory_photo.jpg,NASA,Kennedy,33.58181,-87.96026
18,483664,10/28/2022,NASA Sets TV Coverage for Cargo Launch to International Space Station,"NASA and commercial cargo provider Northrop Grumman are targeting 5:50 a.m. EST, Sunday, Nov. 6, for launch of the companyâ€™s 18th resupply mission to the International Space Station. ",https://www.nasa.gov/press-release/nasa-sets-tv-coverage-for-cargo-launch-to-international-space-station,NULL,https://www.nasa.gov/sites/default/files/styles/full_width/public/thumbnails/image/ng_17_lauch_for_advisory_on_ng_18.jpg,NASA,Zimbabwe,-20.1106,28.53336
19,483637,10/27/2022,NASAâ€™s Economic Benefit Reaches All 50 States,"NASA released the results of its second agencywide economic impact report on Thursday, demonstrating how its Moon to Mars activities, climate change research and technology, as well as other work generated more than $71.2 billion in total economic output ",https://www.nasa.gov/press-release/nasa-s-economic-benefit-reaches-all-50-states,NULL,https://www.nasa.gov/sites/default/files/styles/full_width/public/thumbnails/image/fy21_eir_cover.png,NASA,the United States, 38.89124,-76.93761
20,483533,10/25/2022,NASA Invites Media to SpaceXâ€™s 26th Resupply Launch to Space Station,"Media accreditation is open for SpaceXâ€™s 26th commercial resupply mission for NASA to the International Space Station. Liftoff of the SpaceX Dragon cargo spacecraft on a Falcon 9 rocket is targeted no earlier than Friday, Nov. 18, from Launch Complex 39A ",https://www.nasa.gov/press-release/nasa-invites-media-to-spacex-s-26th-resupply-launch-to-space-station,NULL,https://www.nasa.gov/sites/default/files/styles/full_width/public/thumbnails/image/space_x_resupply_for_advisory_oct_25.jpg,NASA,U.S., 38.89124,-76.93761
21,483502,10/24/2022,"Maryland Students, Navy Pilots to Hear from NASA Astronauts in Space","Pilots from the U.S. Naval Test Pilot School in Patuxent River, Maryland, and students across southern Maryland will have an opportunity this week to hear from NASA astronauts aboard the International Space Station.",https://www.nasa.gov/press-release/maryland-students-navy-pilots-to-hear-from-nasa-astronauts-in-space,NULL,https://www.nasa.gov/sites/default/files/styles/full_width/public/thumbnails/image/jsc2022e076176.jpeg,NASA,America, 38.89124,-76.93761
22,483501,10/24/2022,"NASA to Provide Live Coverage of Space Station Cargo Launch, Docking","NASA will provide live coverage of the launch and docking of a Roscosmos cargo spacecraft carrying about three tons of food, fuel, and supplies for the multi-national Expedition 68 crew aboard the International Space Station.",https://www.nasa.gov/press-release/nasa-to-provide-live-coverage-of-space-station-cargo-launch-docking-0,NULL,https://www.nasa.gov/sites/default/files/styles/full_width/public/thumbnails/image/progress_82.jpg,NASA,Kazakhstan,50.76035,81.93912
23,483489,10/21/2022,NASA Coverage Set for NOAAâ€™s Joint Polar Satellite System-2 Launch,NASA will provide coverage of the upcoming prelaunch and launch activities for the National Oceanic and Atmospheric Administrationâ€™s (NOAA) Joint Polar Satellite System-2 (JPSS-2) mission. JPSS-2 is the third satellite in the polar satellite series and is,https://www.nasa.gov/press-release/nasa-coverage-set-for-noaa-s-joint-polar-satellite-system-2-launch,NULL,https://www.nasa.gov/sites/default/files/styles/full_width/public/thumbnails/image/2022-09_jpss2-beauty-hires.png,NASA,JPSS-2,-,-
24,483487,10/21/2022,"NASA to Host Briefing on InSight, Mars Reconnaissance Orbiter Findings","NASA will host a virtual media briefing at 2 p.m. EDT on Thursday, Oct. 27, to share new scientific findings based on observations from the agencyâ€™s InSight Mars lander and Mars Reconnaissance Orbiter (MRO). ",https://www.nasa.gov/press-release/nasa-to-host-briefing-on-insight-mars-reconnaissance-orbiter-findings,NULL,https://www.nasa.gov/sites/default/files/styles/full_width/public/thumbnails/image/insight_photo.jpg,NASA,California,38.62445,-92.55257
25,58630,11/14/2022,NASA and ULA Successfully Test a Giant Inflatable Heat Shield That Could Land Heavier Payloads on Mars,"A new type of heat shield was successfully tested last week, with the hopes this type of inflatable decelerator could be used in the future to land humans and large payloads on Mars or for atmospheric entry on other planets on moons.The Low-Earth Orbit ",https://www.universetoday.com/158630/nasa-and-ula-successfully-test-a-giant-inflatable-heat-shield-that-could-land-heavier-payloads-on-mars/,NULL,https://www.universetoday.com/wp-content/uploads/2022/11/loftid-earth_illustration-1024x791-1.jpeg,Universe Today,California,38.62445,-92.55257
26,58622,11/13/2022,"Will Triton finally answer, â€˜Are we alone?â€™","But Enceladus isnâ€™t the only location in our solar system with active geysers, as another small moon near the edge of the solar system shares similar characteristics, as well. But are Tritonâ€™s geysers the only characteristics that make it a good target fo",https://www.universetoday.com/158622/will-triton-finally-answer-are-we-alone/,NULL,https://www.universetoday.com/wp-content/uploads/2022/11/Triton_moon_mosaic_Voyager_2_large.jpg,Universe Today,,-,-
27,58614,11/12/2022,"SLS Hurricanes, James Webb Fixed, Strange Quark Star",Enjoy the hot fresh yummy bits of space and astronomy news.Controllers noticed in August that one of MIRIâ€™s modes was experiencing excess friction and took it offline while they searched for the underlying cause. ,https://www.universetoday.com/158614/sls-hurricanes-james-webb-fixed-strange-quark-star/,NULL,https://www.universetoday.com/wp-content/uploads/2022/11/000-1024x576.jpg,Universe Today,Fraser Cain,39.95235,-105.81736
28,58590,11/11/2022,This Nearby Dwarf Galaxy has Been a Loner for Almost the Entire age of the Universe,"The James Webb Space Telescope Early Release Science (ERS) program â€“ first released on July 12th, 2022 â€“ has proven to be a treasure trove of scientific finds and breakthroughs. Here are the highlights of that interview:Regarding WLM The WLM is roughl",https://www.universetoday.com/158590/this-nearby-dwarf-galaxy-has-been-a-loner-for-almost-the-entire-age-of-the-universe/,NULL,https://www.universetoday.com/wp-content/uploads/2022/11/79663af7befd8652d3d944a2c16c791b-1024x577.jpg,Universe Today,,-,-
29,58609,11/11/2022,Weâ€™ll Inevitably see Another Interstellar Object. Which Ones Make the Best Targets to Visit?,"Part of what makes an interstellar visitor mission interesting is that interstellar visitors are so weird. Borisov acted like a typical comet once it entered the solar system, but â€˜Oumuamua was a different beast entirely.",https://www.universetoday.com/158609/well-inevitably-see-another-interstellar-object-which-ones-make-the-best-targets-to-visit/,NULL,https://www.universetoday.com/wp-content/uploads/2022/11/8044-1024x640.jpg,Universe Today,,-,-
30,58603,11/11/2022,"Keck's new Planet Hunter Instrument Comes Online, Searching for Smaller, More Earth-Sized Exoplanets","Thereâ€™s a new planet hunter in town, and itâ€™s got its sights set on nearby Earth-sized planets in the galactic neighborhood.Dubbed the Keck Planet Finder, or KPF for short, the new instrument at the W. M. Keck Observatory in Hawaii achieved first light",https://www.universetoday.com/158603/kecks-new-planet-hunter-instrument-comes-online-searching-for-smaller-more-earth-sized-exoplanets/,NULL,https://www.universetoday.com/wp-content/uploads/2022/11/Zerodur-Optical-Bench-KPF-Lab-Assembly-WEB.max-1400x800-1-1024x750.jpg,Universe Today,Hawaii,19.98308,-155.80187
31,58597,11/11/2022,Divers Have Found a Piece of the Space Shuttle Challenger Off the Coast of Florida,Nearly 37 years ago the world watched in stunned horror as an explosion destroyed the space shuttle Challenger. Recently a film crew working on a show for the History Channel discovered a 20-foot-long piece of Challenger on the ocean floor. ,https://www.universetoday.com/158597/divers-have-found-a-piece-of-the-space-shuttle-challenger-off-the-coast-of-florida/,NULL,https://www.universetoday.com/wp-content/uploads/2022/11/1280px-Space_Shuttle_Challenger_tribute_poster-1-1024x718.jpg,Universe Today,America, 38.89124,-76.93761
32,58591,11/10/2022,A New View of the Cone Nebula From the Very Large Telescope,"Hereâ€™s a dramatic and spectacular new view of the Cone Nebula, as seen by the Very Large Telescope (VLT). This image is from the Digitized Sky Survey (DSS), and includes the Christmas Tree star cluster and the Cone Nebula below it (at the very center of t",https://www.universetoday.com/158591/a-new-view-of-the-cone-nebula-from-the-very-large-telescope/,NULL,https://www.universetoday.com/wp-content/uploads/2022/11/eso2215a-1-998x1024.jpg,Universe Today,Chile, -35.66651,-71.53856
33,58588,11/10/2022,Woohoo! JWST's Mid-Infrared Instrument is Fully Operational Again,Engineers with the James Webb Space Telescope have figured out a way to work around a friction issue that arose with the telescopesâ€™ Mid-Infrared Instrument (MIRI). The team is now planning to resume observations with the instrumentâ€™s medium resolution sp,https://www.universetoday.com/158588/woohoo-jwsts-mid-infrared-instrument-is-fully-operational-again/,NULL,https://www.universetoday.com/wp-content/uploads/2022/10/Webb_s_portrait_of_the_Pillars_of_Creation_MIRI-e1667095631167-1024x936.jpg,Universe Today,Arizona,35.90486,-114.0548
34,58541,11/9/2022,The Case of the â€œMissing Exoplanetsâ€,"Of the more than 2,600 planets Kepler discovered, thereâ€™s an apparent rarity of exoplanets with a radius of about 1.8 times that of Earth â€“ which they refer to as the â€œradius valley.â€ A second mystery, known as â€œpeas in a pod,â€ refers to neighboring plane",https://www.universetoday.com/158541/the-case-of-the-missing-exoplanets/,NULL,https://www.universetoday.com/wp-content/uploads/2022/11/1-5000-exoplanets-1041-1024x576.jpg,Universe Today,Izidoro,-,-
35,5537054796eb2d99a0ef00144fcb0ff2,3/8/2021,Webb mission page card link,Webb: seeing farther Webb: seeing farther,https://www.esa.int/Science_Exploration/Space_Science/Webb,NULL,https://www.esa.int/var/esa/storage/images/esa_multimedia/images/2021/03/webb/23183507-1-eng-GB/Webb_card_full.jpg,ESA,Europe,50.47333,4.279
36,e5e9d3655258d31e69ee4a94f2395628,11/14/2022,ESA results on display at COP27,"Achieving net-zero by the second half of the century is considered vital if global temperatures are to remain well below the two degrees rise as set out by the Paris Agreement for climate. From their vantage point in space, satellites provide a unique mea",https://www.esa.int/Applications/Observing_the_Earth/Space_for_our_climate/ESA_results_on_display_at_COP27,NULL,https://www.esa.int/var/esa/storage/images/esa_multimedia/videos/2022/11/counting_national_carbon_emissions/24564599-1-eng-GB/Counting_national_carbon_emissions_card_full.png,ESA,Europe,51.51412,-0.1146
